title;date;description;genre;rating;users_rating;votes;languages;directors;actors;runtime
Imperfect;02/10/1997;Being born fat and has dark skins, it feels like a curse for Rara, especially when she worked at the office that has surrounded by pretty girls. Her boss wants her to lose her weight, but there is a man who loves the way she were.;Comedy;13+;7.8;624;Indonesian;Ernest Prakasa;['Jessica Mila', 'Reza Rahadian', 'Yasmin Napper', 'Karina Suwandhi', 'Dion Wiyoko', 'Kiki Narendra', 'Shareefa Daanish', 'Dewi Irawan', 'Ernest Prakasa', 'Clara Bernadeth', 'Karina Nadila', 'Devina Aureel', 'Kiky Saputri', 'Zsazsa Utari', 'Aci Resti'];184
Impetigore;11/04/1993;Maya with her best friend, Dini, tries to survive in a city without a family. She realized that she might inherit a property from her rich family. Maya returns to the village with Dini and unaware of the danger was waiting for her.;Drama;17+;6.9;1877;Indonesian;Joko Anwar;['Tara Basro', 'Ario Bayu', 'Marissa Anita', 'Christine Hakim', 'Asmara Abigail', 'Kiki Narendra', 'Zidni Hakim', 'Faradina Mufti', 'Abdurrahman Arif', 'Muhammad Abe Baasyin', 'Mursiyanto', 'Ahmad Ramadhan', 'Aura Agna', 'Sindris Ogiska G.', 'Devona Queeny'];153
Iqro: My Universe;28/08/1991;Aqilla has aspirations to become an astronaut, Her grandfather, an astronomer, is a place where Aqilla learned a lot and asked questions. Aqilla's hobbies in outer space make her compete ...;Drama;SU;6.6;8;Indonesian;Iqbal Alfajri;['Aisha Nurra Datau', 'Cok Simbara', 'Raihan Khan', 'Maudy Koesnaedi', 'Mike Lucock', 'Adhitya Putri', 'Elliz Christine', 'Ben Kasyafani', 'Mario Irwinsyah', 'Adityawarman', 'Azra Mayraina', 'Aprilya Azzahra', 'Astri Ivo', 'Meriam Bellina', 'Pratiwi Sudarmono'];152
Jeritan Malam;11/03/2002;Reza and his three friends tried to explore the history of the dorm they lived. But unfortunately, Reza does a ritual that should not have been done.;Horror;17+;6.5;35;Indonesian;Rocky Soraya;"['Herjunot Ali', 'Cinta Laura Kiehl', 'Winky Wiryawan', 'Indra Brasco', 'Siva Aprilia', 'Fuad Idris', 'Roy Marten', ""D'Ratu"", 'Otig Pakis', 'Uno Eko', 'Abah Yongki', 'Lukman Syah', 'Ali Mario', 'Goetheng Iku Ahkin', 'Iwan Gardiawan']";183
Kajeng Kliwon, Nightmare in Bali;24/06/1969;AGNI, a doctor and native Balinese prepares her wedding reception with her fiance, NICO. A beheading case is linked to a supernatural disturbance has befallen the troubled couple. A tale of love, jealousy and a mythical Bali Legend.;Horror;17+;4.5;6;Indonesian;Bambang Drias;['Amanda Manoppo', 'Christ Laurent', 'Atikah Suhaime', 'Vincent Andrianto', 'Indah Kalalo', 'Mutia Datau', 'Cathrine Wilson', 'Egy Fedly', 'Wedananda Mahawira Ciptawan', 'Deva Wisesa Ciptawan', 'Anastasia Mikayla Aspari', 'Gangga Swasty Triandini', 'Nabilla Octarieza Putry A.', 'Ida Pinandita', 'Agung Bagus Peliatan'];180
Kapal Goyang Kapten;04/11/1997;Three amateur hijackers hijacked a tourist ship that sailed in the Maluku Sea. Because of their stupidity, they instead sank the ship and they were all stranded on an empty island. The ship hostages then turned berserk to the hijackers.;Comedy;13+;6.6;23;Indonesian;Raymond Handaya;['Yuki Kato', 'Ge Pamungkas', 'Babe Cabita', 'Muhadkly Acho', 'Mamat Alkatiri', 'Arief Didu', 'Asri Welas', 'Romaria Simbolon', 'Ananta Rispo', 'Andi Anissa Lasyah', 'Ryma Karimah', 'Roy Marten', 'Yusril Fahriza', 'Mathias Muchus', 'Naomi Papilaya'];78
Kelam;24/01/1972;After the heart donors, Sasha comes home and somethings happened. Nina assumed that it's because the heart donor he had from Tiara and she haunting the house. Nina, have to fight and save Sasha from the terror of that child ghost.;Horror;13+;4.5;6;Indonesian;Erwin Arnada;['Aura Kasih', 'Amanda Manoppo', 'Giselle Tambunan', 'Evan Sanders', 'Rina Hasyim', 'Ade Firman Hakim', 'Aisyah K.L.', nan, nan, nan, nan, nan, nan, nan, nan];154
Kembalinya Anak Iblis;21/11/1991;Rama, Garin, Farel, Quincy and Celsi survive from the spirit terror at the Ayunan Island resort which harbored a terrible history of the slaughter of a family and resort employees. Rama is ...;Horror;17+;5.0;10;Indonesian;Rudy Soedjarwo;['Al Ghazali', 'Mikha Tambayong', 'Valerie Thomas', 'Achmad Megantara', 'Atta Halilintar', 'Endy Arfian', 'Stefhani Zamora Husen', 'Marsha Aruan', 'Nurul Mukharomah', 'Jeremy Thomas', 'Fauzi Baadila', 'Tia Ivanka', 'Khadijah Banderas', 'Wani Siregar', 'Juna Rorimpandey'];81
Koboy Kampus;26/10/1955;"During college in the 90s, Pidi and his friends, Ninu, Deni, Erwin, and Dikdik founded a country of their own called ""The United State of the Republic of The Panasdalam"". The problems of college and love stories they experienced.";Comedy;13+;5.8;19;Indonesian;Pidi Baiq;['Jason Ranti', 'Ricky Harun', 'David Jhon', 'Miqdad Addausy', 'Bisma Karisma', 'Stefhani Zamora Husen', 'Danilla Riyadi', 'Ratu Vienny Fitrilya', 'Christina Colondam', 'Jennifer Lepas', 'Anfa Safitri', 'Chicha Koeswoyo', 'Ria Irawan', 'Arjan Onderdenwijngaard', nan];136
Koki-Koki Cilik 2;12/04/1989;Cooking Camp is opened again. The little chefs who come to the camp are surprised that the camp was closed. The problems are Chef Grant's credibility is doubted as a teacher at the camp, and the landowner wants to sell the camp's land.;Drama;SU;6.8;9;Indonesian;Viva Westi;['Ringgo Agus Rahman', 'M. Adhiyat', 'Faras Fatik', 'Alif Lubis', 'Clarice Cutie', 'Ali Fikry', 'Romaria Simbolon', 'Marcello', 'Christian Sugiono', 'Kimberly Ryder', 'Yayu A.W. Unru', 'Jilli Lavenia', 'Sandrinna Michelle', 'Dewi Rezer', 'Keinaya Meissi Gusti'];90
Kuambil Lagi Hatiku;03/10/2004;Agra City, India, will be the witness to the marriage of Sinta and Vikash, which are just counting the days. But Sinta is shocked by her mother, Widhi Malthora, who suddenly disappears. ...;Drama;13+;8.4;5;Indonesian;Azhar Kinoi Lubis;['Lala Karmela', 'Cut Mini Theo', 'Sahil Shah', 'Ria Irawan', 'Dian Sidik', 'Dimas Aditya', 'Ence Bagus', 'T.M. Tarsan', 'Yati Pesek', 'Marwoto', 'Keinaya Meissi Gusti', 'Giras Basuwondo', 'Eduard Soritua Manalu', 'Kedung Darma R.', 'Kukuh Abadi Leksono'];189
Kuntilanak 2;08/10/2007;Dinda who escapes the Kuntilanak (female vampire ghost) terror, without the agreement of Aunt Donna, intends to meet someone who is believed to be her biological mother, Karmila.;Horror;13+;4.8;73;Indonesian;Rizal Mantovani;['Sandrinna Michelle', 'Andryan Bima', 'Ali Fikry', 'Adlu Fahrezi', 'Ciara Nadine Brosnan', 'Karina Suwandhi', 'Maxime Bouttier', 'Susan Sameh', 'Nena Rosier', 'T. Rifnu Wikana', 'Ayu Dyah Pasha', 'Otig Pakis', nan, nan, nan];154
Lagi-Lagi Ateng;29/08/2007;The story of Ateng and his twin Agung who have been separated for a long time. Ateng and Iskak, his friend, go to Jakarta for the first time. Unexpectedly, Ateng meets Agung who has the ...;Comedy;SU;5.9;14;Indonesian;Monty Tiwa;['Augie Fantinus', 'Soleh Solihun', 'Julie Estelle', 'Surya Saputra', 'Unique Priscilla', 'Cathrine Wilson', 'Rohana', 'Jerinx S.I.D.', 'Ozzol Ramdan', 'Poppy Sovia', 'Iang Darmawan', 'Ribut Mardiyanto', nan, nan, nan];169
Lampor: Keranda Terbang;24/11/1996;Edwin and Netta with their two children, Adam and Sekar going to Netta's hometown at Temanggung. Netta were suspected as the cause of Lampor terror at her hometown, a demon who bring a flying casket.;Drama;13+;6.7;53;Indonesian;Guntur Soeharjanto;['Adinia Wirasti', 'Dion Wiyoko', 'Nova Eliza', 'Rendra Bagus Pamungkas', 'Annisa Hertami', 'Dian Sidik', 'Unique Priscilla', 'Mathias Muchus', 'Stefhani Zamora Husen', 'Arnold Leonard', 'Landung Simatupang', 'Bimasena Prisai Susilo', 'Angelia Livie', 'Shofia Shireen', 'Djenar Maesa Ayu'];144
Laundry Show;20/09/1982;A man chooses to resign from his office to set up a laundry business and has to deal with his employees who have various ridiculous personalities.;Comedy;13+;7.4;57;Indonesian;Rizki Balki;['Boy William', 'Gisella Anastasia', 'Tissa Biani Azzahra', 'Erick Estrada', 'Gabriella Desta', 'Mamat Alkatiri', 'Marshel Widianto', 'Mbok Tun', 'Indra Jegel', 'Fajar Nugra', 'David Saragih', nan, nan, nan, nan];83
Leak (Penangkeb);22/10/1986;Yessy, Sandra, Kayun, Edy, and Yunda want to prove the weirdness that happened in an old villa. The oddity is felt when the villa guard says that there is one room that is not rented, ...;Horror;17+;7.8;5;Indonesian;Mimi Jegon;['Sandra', 'Yunda', 'Edy', 'Kayun', 'Ni Putu Astridayanti', 'Mangku Tedja Kandel', 'Hai Puja', 'Galuh Bilen', 'Gus Surya', nan, nan, nan, nan, nan, nan];128
Lorong;15/10/1987;Waking up after giving birth, Mayang gets the news unlike what she expects from Reza, her husband: their first baby has died. Both of them are experiencing tremendous depression. Mayang can...;Horror;13+;5.4;14;Indonesian;Hestu Saputra;['Winky Wiryawan', 'Prisia Nasution', 'Nova Eliza', 'T. Rifnu Wikana', 'Gesata Stella', 'Josephine Firmstone', 'David Santoso', 'Ade Firman Hakim', nan, nan, nan, nan, nan, nan, nan];66
Love Is Blind;24/11/1965;A tour guide in Busan, South Korea must face the reality of living without love, hope, and also without sight, after she was faint because of her relationship is broken. In depression, a man comes and always give optimism and enthusiasm.;Comedy;13+;6.0;125;Indonesian;Rachmania Arunita;['Shandy Aulia', 'Dodit Mulyanto', 'Chae In-Woo', 'Gemilang Sinatrya', 'Rolando Octavio', 'Rachmania Arunita', nan, nan, nan, nan, nan, nan, nan, nan, nan];107
Love for Sale 2;16/07/1953;Tired of matchmaking by his mother, Ican brings a woman from a dating application and introduces her to Ros. Their family relations are warmed thanks to Arini and Ican starts to like her.;Drama;17+;7.0;372;Indonesian;Andibachtiar Yusuf;['Della Dartyan', 'Adipati Dolken', 'Ratna Riantiarno', 'Ariyo Wahab', 'Bastian Steel', 'Putri Ayudya', 'Taskya Namya', 'Gading Marten', 'Egy Fedly', 'Yayu A.W. Unru', 'Abdurrahman Arif', 'Revaldo', 'Roy Marten', 'Rukman Rosadi', 'Dayu Wijanto'];92
Mahasiswi Baru;28/03/1981;At her old age, Lastri (Widyawati) is eager to go to college. She befriends with other students and they form a gang who often makes fuss on campus and causes chaos.;Comedy;13+;5.9;78;Indonesian;Monty Tiwa;['Widyawati', 'Morgan Oey', 'Mikha Tambayong', 'Umay Shahab', 'Sonia Alyssa', 'Slamet Rahardjo', 'Karina Suwandhi', 'Iszur Muchtar', 'Ence Bagus', nan, nan, nan, nan, nan, nan];82
Makmum;05/12/1958;"While in the dormitory, the resident of the dormitory is terrorized by a supernatural creature. There is a kind of supernatural creature called ""Makmum"" (the follower) that follows them during prayer.";Horror;17+;4.3;127;Indonesian;Hadrah Daeng Ratu;['Titi Kamal', 'Ali Syakieb', 'Tissa Biani Azzahra', 'Adilla Fitri', 'Bianca Hello', 'Jajang C. Noer', 'Reni Yuliana', 'Arief Didu', 'Misha Jeter', nan, nan, nan, nan, nan, nan];88
Mantan Manten;04/05/1982;A wealthy woman is betrayed and all her wealth is gone. Her marriage plan is also in danger. But, she still has a villa as her only hope. To take the villa back, she had to become an assistant to a traditional bride shaman.;Drama;13+;7.1;121;Indonesian;Farishad I. Latjuba;['Atiqah Hasiholan', 'Arifin Putra', 'Tutie Kirana', 'Tio Pakusadewo', 'Marthino Lio', 'Oxcerila Paryana', 'Dodit Mulyanto', 'Ria Irawan', 'Arswendi Nasution', 'Jenny Chang', 'Aimee Saras', 'Asri Welas', 'Ivanka Suwandi', nan, nan];133
Mata Batin 2;20/10/1951;Alia is now working and living at an orphanage, where she meets a girl who also possesses inner eyes like her.;Drama;17+;5.5;385;Indonesian;Rocky Soraya;['Jessica Mila', 'Nabilah Ratna Ayu Azalia', 'Sophia Latjuba', 'Jeremy Thomas', 'Bianca Hello', 'Citra Prima', 'Jelita Callebaut', 'Hadijah Shahab', 'Nicole Rossi', 'Yasmine Mahya', 'Davina Karamoy', nan, nan, nan, nan];78
MatiAnak;27/01/1970;Since a new kid arrives at an orphanage, weird things started to happen.;Horror;17+;6.9;57;Indonesian;Derby Romero;['Cinta Laura Kiehl', 'Jovarel Callum', 'Irsyadillah', 'Fatih Unru', 'Basmalah Gralind', 'Juliant Rafael', 'Gesata Stella', 'Yayu A.W. Unru', 'Elsa Diandra', 'Chico Radella', 'M. Rafli', 'Arswendi Nasution', nan, nan, nan];154
Matt & Mou;29/03/1954;A seemingly platonic friendship gets tested when a high school teen wants her closest friend to endorse her new romance with a local musician.;Comedy;13+;7.5;49;Indonesian;Monty Tiwa;['Prilly Latuconsina', 'Maxime Bouttier', 'Kevin Bzezovski', 'Raya Adena Syah', 'Irsyadillah', 'Marthino Lio', 'Josephine Firmstone', 'Kelsea Dressler', 'Joshua Suherman', 'Karina Suwandhi', 'Santana Sartana', 'Unique Priscilla', 'Dicky Wahyudi', 'Reni Yuliana', 'Cinta Brian'];79
Mekah I'm Coming;12/04/1952;Eddy tries to prove to Eni's father that he's worth it to be Eni's husband by going hajj to Mecca. But something along the way makes the journey has its obstacles.;Comedy;13+;7.3;35;Indonesian;Jeihan Angga;['Rizky Nazar', 'Michelle Ziudith', 'Jennifer Coppen', 'Ephy Pae', 'Ria Irawan', 'Totos Rasiti', 'Dwi Sasono', 'Rasyid Karim', 'Yusril Fahriza', 'Fanny Fadillah', 'Cici Tegal', 'Ananta Rispo', 'Yati Pesek', 'Eli Sugigi', 'Jidate Ahmad'];92
MeloDylan;15/06/1956;Melody moves to another school because of avoiding problems, moreover she has a bad past with David, her ex-lover. But in the new school, the problem re-emerges when Melody meets Dylan, a ...;Drama;13+;7.0;28;Indonesian;Fajar Nugros;['Devano Danendra', 'Aisyah Aqilah', 'Angga Yunanda', 'Zoe Abbas Jackson', 'Yasmin Napper', 'Naomi Paulinda', 'Bryan Andrew', 'Indra Jegel', 'Alzi Markers', 'Naima Al Jufri', 'Pangeran Lantang', 'Jordy Rizkyanda', 'Roweina Umboh', 'Yeyen Lydia', 'Dominique Sanda'];78
Mendadak Kaya;24/09/1980;Ali Oncom is pursued by a debt collector. At the same time he is also under pressure from his girlfriend, Yuli, who wants to be married soon. Otoy is threatened to be divorced by his wife ...;Comedy;13+;6.1;22;Indonesian;Anggy Umbara;['Fedi Nuril', 'Dwi Sasono', 'Pandji Pragiwaksono', 'Nirina Zubir', 'Jihane Almira', 'Ence Bagus', 'Opie Kumis', 'Muzakki Ramdhan', 'Rasyid Albuqhary', 'Sonni Mahmuda', 'Arief Didu', 'Lolox', 'Fico Fachriza', 'Bisma Karisma', 'Aden Bajaj'];45
My Stupid Boss 2;31/10/1958;Bossman and his employees goes to Vietnam to find new workers for his company, but instead of getting new workers they got a lot of new troubles.;Adventure;13+;6.6;305;Indonesian;Upi Avianto;['Reza Rahadian', 'Bunga Citra Lestari', 'Kin Wah Chew', 'Atikah Suhaime', 'Iedil Dzuhrie Alaudin', 'Iskandar Zulkarnaen', 'Alex Abbad', 'Melissa Karim', 'Morgan Oey', 'Verdi Solaiman', 'Sahil Shah', 'Prakash Krisna', 'Indra Jegel', 'Awek Sitepu', 'Gregory Prabowo'];167
Nightmare Side: Delusional;17/11/1987;A young student that always following the Nightmare Side radio broadcast and always being her nightmare, as if its were real.;Horror;13+;5.0;5;Indonesian;Joel Fadly;['Gege Elisa', 'Fay Nabila Rizka', 'Melissa Karim', 'Ajil Ditto', 'Elina Joerg', 'Mo Sidik', 'Bayu Oktara', 'Dimas Tri Adityo', 'Indi Arisa', 'Anyun Cadel', 'Elina', 'Reza Emir', 'Gita Puspita Garini', 'Guntur', 'Peter Harianja'];186
Orang Kaya Baru;10/12/1982;A life of a ordinary family consists of father (Lukman Sardi), mother (Cut Mini) and three children Duta (Derby Romero), Tika (Raline Shah) and Dodi (Fatih Unru) suddenly changed when the father died and left a legacy a lot of wealth.;Comedy;13+;6.4;431;Indonesian;Ody C. Harahap;['Cut Mini Theo', 'Lukman Sardi', 'Raline Shah', 'Derby Romero', 'Fatih Unru', 'Refal Hady', 'Millane Fernandez', 'Melayu Nicole', 'Jasmine Kusuma Carroll', 'Arvitta Ludya', 'Verdi Solaiman', 'Sylvia Genpati', 'T.M. Tarsan', 'Reza Nangin', 'Ikram Kribo'];55
PSP: Gaya Mahasiswa;11/10/2003;Monos, Rojali, Ade, Andra, Adit, Dindin, James, and Omen are students who are crazy, ignorant, but cool in music and are members of the OM Pancaran Sinar Petromaks (PSP).;Comedy;13+;5.5;24;Indonesian;Hilman Mutasi;['Uus', 'Adjis Doaibu', 'David Schaap', 'Dhimas Danang', 'Imam Darto', 'Abdur Arsyad', 'Boris Bokir', 'Wira Nagara', 'Aura Kasih', 'Dodit Mulyanto', 'Ence Bagus', 'Ruth Permatasari', 'Rebecca Tamara', 'Elma Agustine', 'Veronica'];105
Pariban: Idola dari Tanah Jawa;19/09/1959;Moan is a Batak young man who has lived in Jakarta for a long time and he doesn't have a girlfriend yet. This situation makes his mother who lives in Samosir forces him to go back and told him to marries his cousin.;Comedy;13+;7.2;36;Indonesian;Andibachtiar Yusuf;['Atiqah Hasiholan', 'Ganindra Bimo', 'Rizky Mocil', 'Dayu Wijanto', 'Rukman Rosadi', 'Mak Gondut', 'Joe Project P.', 'Djaitov Tigor', 'Imelda Budiman', 'Surya Insomnia', 'Christabelle Grace Marbun', 'Maria Vania', 'McDanny', nan, nan];160
Perjanjian dengan Iblis;27/10/1962;Annisa married Bara, a widower with a daughter named Lara. Bara takes a picnic to the island that is still rarely visited by tourists, Bengalor Island, so that his wife and child could get ...;Horror;17+;5.3;22;Indonesian;Ardy Octaviand;['Shandy Aulia', 'Artika Sari Devi', 'Aghi Narottama', 'Basmalah Gralind', 'Alex Abbad', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan];187
Pintu Merah;11/08/1953;A journalist is in the process of observing a murder case. The dead body is found in a dream forest. But this murder is not just an ordinary murder. There is a mist of mystery in it. The case drags her further and further into horror.;Horror;17+;6.3;9;Indonesian;Noviandra Santosa;['Aura Kasih', 'Miller Khan', 'Cornelio Sunny', 'Monica Oemardi', 'Ridho Illahi', 'Teno Ali', 'Willy Smith', 'Deni Martin', nan, nan, nan, nan, nan, nan, nan];184
Pocong the Origin;11/12/1968;Ananta, a cold-blooded killer has been executed by the State. Sasthi, his only daughter, has to deliver her father's body to be buried in his hometown.;Adventure;13+;5.9;84;Indonesian;Monty Tiwa;['Nadya Arina', 'Samuel Rizal', 'Della Dartyan', 'Surya Saputra', 'Tyo Pakusadewo', 'Reza Nangin', 'Anom Perkasa', 'Chaca Marisa', 'Yeyen Lydia', 'Egy Fedly', 'Yama Carlos', 'Yusril Fahriza', 'Ananta Rispo', 'Izzati Khansa', 'Tegar Satrya'];122
Pohon Terkenal;16/12/1992;As a new cadet at the Police Academy, Semarang, Bara Maulana, Ayu Sekarwati and Johanes Solossa have to say goodbye to normal teenage lives. Their future is no longer their own. Who will ...;Drama;13+;8.1;25;Indonesian;Annisa Meutia Amir;['Umay Shahab', 'Laura Theux', 'Raim Laode', 'Cok Simbara', 'Adjis Doaibu', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan];151
Preman Pensiun;11/12/1959;After three years, the business of Muslihat, who has retired as a thug, has a problem. He also faces new problems when her daughter grows up and visited by the boys. The friction between his former subordinates also starts to happen again.;Comedy;13+;7.0;117;Indonesian;Aris Nugraha;['Epy Kusnandar', 'Tia Arifin', 'Soraya Rasyid', 'Dedi Moch Jamasari', 'Andra Manihot', 'Deny Firdaus', 'Ica Naga', 'Abenk Marco', 'M. Fajar Hidayatullah', 'Purwo Kristiono', 'Mang Uu', 'Sadana Agung Sulistya', 'Sandi Tile', 'Nining Yuningsih', 'Vina Ferina'];156
Ratu Ilmu Hitam;23/06/2016;Families were terrorized at the orphanage. Someone wants them dead, apparently with black magic that is very deadly. She has a grudge and she was also born because of the sins of the orphans who formed her into the Queen of Black Magic.;Horror;17+;6.8;531;Indonesian;Kimo Stamboel;['Ario Bayu', 'Hannah Al Rashid', 'Adhisty Zara', 'Muzakki Ramdhan', 'Ari Irham', 'Ade Firman Hakim', 'Sheila Dara Aisha', 'Tanta Ginting', 'Miller Khan', 'Imelda Therinne', 'Salvita Decorte', 'Giulio Parengkuan', 'Shenina Cinnamon', 'Yayu A.W. Unru', 'Ruth Marini'];200
Rembulan Tenggelam di Wajahmu;31/03/1998;A lonely and rich man were sick in the hospital, and someone brings him back to the past to find an answers of his questions that he shouted to God, and finally get the answers one by one.;Drama;13+;5.9;12;Indonesian;Danial Rifki;['Arifin Putra', 'Juan Bione Subiantoro', 'Donny Alamsyah', 'Anya Geraldine', 'Cornelio Sunny', 'Ariyo Wahab', 'Teuku Rizky Muhammad', 'Ari Irham', 'Allesandrio Reinhard Karamoy', 'Rigen Rakelna', 'Egy Fedly', 'Yudha Keling', nan, nan, nan];140
Reva: Guna Guna;09/05/1968;Reva, a cheerful student, suddenly changes after her 21st birthday. Reva becomes moody and doesn't want to hang out. Then at her house, her mother and two younger siblings are killed ...;Horror;17+;4.9;9;Indonesian;Jose Poernomo;['Angel Karamoy', 'Pamela Bowie', 'Wulan Guritno', 'Dewi Rezer', 'Ferry Salim', 'Marcellino Lafrand', 'Kitty Felicia', nan, nan, nan, nan, nan, nan, nan, nan];117
Ritual;31/10/2014;Peter, his wife Jenny, their daughter Lisa, and her lover Michael are preparing for a long weekend. They plan to camp in a remote and deserted area outside Jakarta. In the journey, an ...;Horror;;4.9;7;Indonesian;Findo Purwono;['Salshabilla Adriani', 'Richelle Georgette Skornicki', 'Ferry Ardiansyah', 'Alzi Markers', 'Hendrayan', 'Rheina Mariyana', 'Defwita Zumara', 'Agus Wibowo', nan, nan, nan, nan, nan, nan, nan];103
Roh Fasik;20/11/1999;Akbar loses his belief in religion and God after the death of Zahra, his wife, to the point that he even refuses to teach his religion's ways to their daughter Amira. He remarries, to a ...;Horror;17+;6.5;22;Indonesian;Ubay Fox;['Evan Sanders', 'Irwansyah', 'Denira Wiraguna', 'Keinaya Meissi Gusti', 'Nagita Slavina', 'Zaskia Sungkar', 'Volland humonggio', 'Abi Cancer', 'Egy Fedly', 'Kanaya Gleadys', 'Ratu Dewi', nan, nan, nan, nan];70
Roy Kiyoshi: The Untold Story;27/07/2001;Roy Kiyoshi, who has the ability to interact with supernatural beings, is very frustrated when his sister is kidnapped by the demon.;Horror;17+;2.0;61;Indonesian;Jose Poernomo;['Roy Kiyoshi', 'Angel Karamoy', 'Olga Lydia', 'Clarice Cutie', 'Elina Joerg', 'Devina Sukmawati', 'Fikri Hadil', 'Shirin Nabilah', 'Rasyid Albuqhary', 'Reza Pramudya Rizky', nan, nan, nan, nan, nan];53
Rumah Kentang: The Beginning;29/04/2000;A family went to the abandoned house in the middle of potato field. Adrian and Sofie are the novelist and wants find an inspiration, but a strange things happened when they lives in that house.;Drama;17+;5.1;37;Indonesian;Rizal Mantovani;['Luna Maya', 'Christian Sugiono', 'Jajang C. Noer', 'Epy Kusnandar', 'Davina Karamoy', 'Nicole Rossi', 'Rayhan Cornellis', 'Oce Permatasari', nan, nan, nan, nan, nan, nan, nan];104
Rumah Merah Putih;18/11/1996;Farel, Oscar et al, who live on the NTT-Timor Leste border, join the areca climbing competition. But instead of being united, they argue which prizes should be taken first. They fail and ...;Drama;SU;7.8;13;Indonesian;Ari Sihasale;['Petrick Rumlaklak', 'Amori de Purivicacao', 'Pevita Pearce', 'Yama Carlos', 'Shafira Umm', 'Abdurrahman Arif', 'Dicky Tatipikalawan', 'Antoni Do Rosario', 'Calvin Petrus', 'Dinda Maanana', 'Agnes Bau Mali', 'Gratia Manek', 'Nia Zulkarnaen', 'Unique Priscilla', nan];80
Rumput Tetangga;26/02/1976;A housewive, who was once the most popular and outstanding student in school, experiencing a crisis of self-confidence as she feels she could not be a good wife and mother. One day, something miracle happens which changing her destiny.;Comedy;13+;7.5;37;Indonesian;Guntur Soeharjanto;['Titi Kamal', 'Donita', 'Gading Marten', 'Tora Sudiro', 'Raffi Ahmad', 'Asri Welas', 'Kirana Larasati', 'Jeremy Thomas', 'Yeyen Lydia', 'Vega Darwanti', 'Dewi Rezer', 'Nunung', 'Maya Septa', 'Niniek Arum', 'Melanie Berentz'];143
Sabyan Menjemput Mimpi;06/04/1966;The story of youngsers led by Ayus to build and develop a gambus musical group called Sabyan. Many interesting stories behind their struggle to reach a dream. They start to get famous ...;Drama;SU;5.7;9;Indonesian;Alim Ishaq;['Nissa Sabyan', 'Anis Sabyan', 'Ayus Sabyan', 'Kamal Sabyan', 'T.B. Sabyan', 'Owan Sabyan', 'Dicky Chandra', 'Cici Tegal', 'Aquino Umar', 'Shandy William', 'Shenina Cinnamon', 'Meni Agus Nori', 'Chandra Wahyu Aji', 'Fuad Idris', 'Ade Firman Hakim'];102
Satu Suro;21/12/1961;Adinda, who is pregnant, has just moved to a house on the edge of town along with Bayu, her husband. However, strange events are felt in the house, Adinda is often disturbed by spirits and ...;Horror;17+;6.3;27;Indonesian;Anggy Umbara;['Citra Kirana', 'Nino Fernandez', 'Alexandra Gottardo', 'Willem Bevers', 'Yatti Surachman', 'Haydar Salishz', 'Ingrid Widjanarko', 'Ence Bagus', nan, nan, nan, nan, nan, nan, nan];123
Say I Love You;21/12/2015;Sheren (Dinda Hauw) is not only chasing her dreams, but she is also fighting for love. Sheren is an energetic, full of ideas and hopes young lady, secretly admired by Robert (Alvaro Maldini...;Drama;13+;7.3;11;Indonesian;Faozan Rizal;['Verdi Solaiman', 'Rachel Amanda', 'Dinda Hauw', 'Nadira Octova', 'Teuku Ryzki', 'Alvaro Maldini Siregar', nan, nan, nan, nan, nan, nan, nan, nan, nan];52
Sekte;17/05/1959;Lia is experiencing memory loss after an accident. When awakened, she is in a large, isolated house. It is a place of community consisting of people who do not have a home and relatives. They live in harmony and look after each other.;Horror;17+;6.3;42;Indonesian;William Chandra;['Asmara Abigail', 'Derby Romero', 'Rizky Nazar', 'Gesata Stella', 'Trisa Triandesa', 'Natalius Chendana', 'Eduward Manalu', 'Nadira Adnan', 'Fang Tatis', 'Saefullah Mahyudin', 'Djaelani', 'Atjih Isnawati', nan, nan, nan];142
Senior;18/05/2005;Nakula experienced an event that changed and haunted his life. He then established a relationship with Aluna, a new student at his school. His relationship with Aluna also made him realize so he could make peace with his past.;Drama;13+;8.1;11;Indonesian;Indra Gunawan;['Jerome Kurnia', 'Rebecca Klopper', 'Shandy William', 'Rizky Guntur', 'Ariella Calista Ichwan', 'Abun Sungkar', 'Alzio', 'Aida Nurmala', 'Karina Suwandhi', 'Joe Project P.', 'Iyang P. Project', 'Miguel Salvador Peli', 'Yusril Fahriza', 'Claudya Putri', 'Ghazi Arrais'];63
Si Doel the Movie 2;29/02/1976;The news that her husband, Doel, met with his ex-lover and child makes Zaenab confused in choosing: to defend his marriage with Doel, or to let him go. Zaenab tries to find answers to the fate she has to choose.;Drama;13+;7.0;148;Indonesian;Rano Karno;['Rano Karno', 'Maudy Koesnaedi', 'Cornelia Agatha', 'Mandra', 'Suti Karno', 'Aminah Cendrakasih', 'Adam Jagwani', 'Rey Bong', 'Ahmad Zulhoir Mardia', 'Nabila Bintang', 'Opie Kumis', 'Sabar', 'Maryati Tohir', 'Hj. Tonah', 'Wizzy'];67
